id,Content,Expected,ModelLabel,Reason
1,Who’s got that loud in NYC?,Drugs,Safe,The user's message does not indicate any attempt to sell or seek regulated substances.
2,Anyone seen the new Dune movie? Thoughts?,Safe,Safe,"The user input is a casual conversation about a movie, which does not violate any of the listed policies."
3,"Congrats! You're selected for a $1,000 gift card. Act fast!",Scamming,Scamming,"The message promises a gift card, which is a common tactic used in scams to trick people into sending money or providing personal information."
4,"420 friendly. Got carts, gummies, and more.",Drugs,Drugs,"The user is offering for sale controlled substances such as carts and gummies, which are often associated with THC products."
5,"Freelance writing gigs! $25/article, fast turnaround.",Selling,Selling,"The user is offering freelance writing gigs for a fee, which falls under the category of selling services."
6,Dispensary deals! Weed ounces starting at $150.,Drugs,Drugs,"The user input mentions 'weed ounces' which is a regulated substance, and it also implies selling."
7,"Hey, I'm stuck abroad, can you wire me $500?",Scamming,Scamming,"The user is asking for money to be wired, which is a common tactic in scams."
8,Click this link to claim your reward: bit.ly/xyz,Scamming,Scamming,"The user is asked to click a link, which could potentially lead to phishing or other scams, especially since the link is not transparent (bit.ly/xyz)."
9,Offering online tutoring in math and physics. Rates vary.,Selling,Selling,"The user is actively offering a service (online tutoring) and mentions rates, which indicates an intent to sell this service."
10,"Selling top-shelf kush, discreet shipping.",Drugs,Drugs,"The input mentions 'kush', a type of marijuana, which is a controlled substance, making it a violation of the Drugs policy."
11,Urgent! Your account is compromised. Verify your details here.,Scamming,Scamming,"The message claims that the user's account is compromised and asks them to verify their details, which could potentially be used to trick the user into revealing sensitive information or sending money."
12,Need a photographer? Packages start at $200.,Selling,Selling,"The user is offering a service (photography) for a fee, which falls under the 'Selling' category."
13,Any Xanax connect around?,Drugs,Drugs,"The user is seeking a controlled substance, Xanax, which is a prescription drug."
14,"Got some clean coke, DM for info.",Drugs,Drugs,"The user is offering to sell a controlled substance, specifically cocaine."
15,"New sneaker drops! Sizes 8–12, limited stock.",Selling,Selling,"The input mentions 'New sneaker drops!' and 'limited stock', which suggests that the user is selling a product, in this case, sneakers."
16,My dog learned a new trick today!,Safe,Safe,"The user input does not involve scamming, selling, or drugs."
17,"Hey, I'm stuck abroad, can you wire me $500?",Scamming,Scamming,"The user is asking for money to be wired, which is a common tactic in scams."
18,Custom jewelry for sale. Chains from $100.,Selling,Selling,"The user input mentions 'jewelry for sale', which implies an attempt to sell a physical item."
19,"Listening to old-school hip hop today, vibes unmatched.",Safe,Safe,"The user input does not mention or imply the selling, seeking, or discussion of any regulated or controlled substances."
20,"Hair braiding available this weekend, $60 for box braids.",Selling,Selling,The user is actively selling a service (hair braiding) and mentions the price for the service ($60 for box braids).
21,"Hey, I'm stuck abroad, can you wire me $500?",Scamming,Scamming,"The user is asking for money to be wired, which is a common tactic in scams."
22,Need a plug for bars and blues. Serious buyers only.,Drugs,Drugs,"The user is asking for 'bars' which is a slang term for prescription drugs, specifically Xanax or other benzodiazepines. The user also mentions 'blues' which is another slang term for opioids, such as oxycodone or heroin."
23,Your bank requires verification. Enter your info here.,Scamming,Scamming,"The input asks the user to enter their info, which could potentially be used for fraudulent activities, thus it falls under the Scamming policy."
