Content,Expected
Who’s got that loud in NYC?,Drugs
Anyone seen the new Dune movie? Thoughts?,Safe
"Congrats! You're selected for a $1,000 gift card. Act fast!",Scamming
"420 friendly. Got carts, gummies, and more.",Drugs
"Freelance writing gigs! $25/article, fast turnaround.",Selling
Dispensary deals! Weed ounces starting at $150.,Drugs
"Hey, I'm stuck abroad, can you wire me $500?",Scamming
Click this link to claim your reward: bit.ly/xyz,Scamming
Offering online tutoring in math and physics. Rates vary.,Selling
"Selling top-shelf kush, discreet shipping.",Drugs
Urgent! Your account is compromised. Verify your details here.,Scamming
Need a photographer? Packages start at $200.,Selling
Any Xanax connect around?,Drugs
"Got some clean coke, DM for info.",Drugs
"New sneaker drops! Sizes 8–12, limited stock.",Selling
My dog learned a new trick today!,Safe
"Hey, I'm stuck abroad, can you wire me $500?",Scamming
Custom jewelry for sale. Chains from $100.,Selling
"Listening to old-school hip hop today, vibes unmatched.",Safe
"Hair braiding available this weekend, $60 for box braids.",Selling
"Hey, I'm stuck abroad, can you wire me $500?",Scamming
Need a plug for bars and blues. Serious buyers only.,Drugs
Your bank requires verification. Enter your info here.,Scamming
Graphic design services available. Logos starting at $50.,Selling
Anyone here into chess? Looking for someone to play online.,Safe
This weather has been amazing lately.,Safe
Anyone seen the new Dune movie? Thoughts?,Safe
Looking for edibles in LA. DM me.,Drugs
"New sneaker drops! Sizes 8–12, limited stock.",Selling
Urgent! Your account is compromised. Verify your details here.,Scamming
Join my WhatsApp group for exclusive cash flipping deals.,Scamming
"Congrats! You're selected for a $1,000 gift card. Act fast!",Scamming
Please donate crypto to 0x123fakeaddress to save children.,Scamming
"Congrats! You're selected for a $1,000 gift card. Act fast!",Scamming
"Got some clean coke, DM for info.",Drugs
Reading a new book on neuroscience. Super interesting!,Safe
Need a photographer? Packages start at $200.,Selling
Need a plug for bars and blues. Serious buyers only.,Drugs
Anyone seen the new Dune movie? Thoughts?,Safe
"420 friendly. Got carts, gummies, and more.",Drugs
"Hair braiding available this weekend, $60 for box braids.",Selling
"Selling handmade candles. $10 each, ships anywhere.",Selling
"New sneaker drops! Sizes 8–12, limited stock.",Selling
Join my WhatsApp group for exclusive cash flipping deals.,Scamming
Reading a new book on neuroscience. Super interesting!,Safe
Had a great weekend hiking with friends!,Safe
Graphic design services available. Logos starting at $50.,Selling
"Hey, I'm stuck abroad, can you wire me $500?",Scamming
Any Xanax connect around?,Drugs
Anyone here into chess? Looking for someone to play online.,Safe
Anyone here into chess? Looking for someone to play online.,Safe
Anyone seen the new Dune movie? Thoughts?,Safe
Custom jewelry for sale. Chains from $100.,Selling
Your bank requires verification. Enter your info here.,Scamming
What’s your go-to comfort food?,Safe
Who’s got that loud in NYC?,Drugs
Urgent! Your account is compromised. Verify your details here.,Scamming
Graphic design services available. Logos starting at $50.,Selling
Who’s got that loud in NYC?,Drugs
Free Bitcoin if you join our investment group now!,Scamming
Anyone here into chess? Looking for someone to play online.,Safe
Who’s got that loud in NYC?,Drugs
Looking for edibles in LA. DM me.,Drugs
Any Xanax connect around?,Drugs
Any Xanax connect around?,Drugs
Had a great weekend hiking with friends!,Safe
This weather has been amazing lately.,Safe
Your bank requires verification. Enter your info here.,Scamming
"Hey, I'm stuck abroad, can you wire me $500?",Scamming
"Hey, I'm stuck abroad, can you wire me $500?",Scamming
Free Bitcoin if you join our investment group now!,Scamming
Urgent! Your account is compromised. Verify your details here.,Scamming
This weather has been amazing lately.,Safe
Offering online tutoring in math and physics. Rates vary.,Selling
Reading a new book on neuroscience. Super interesting!,Safe
Who’s got that loud in NYC?,Drugs
Need a plug for bars and blues. Serious buyers only.,Drugs
Need a photographer? Packages start at $200.,Selling
Can’t wait for summer break ☀️,Safe
Offering online tutoring in math and physics. Rates vary.,Selling
"New sneaker drops! Sizes 8–12, limited stock.",Selling
Anyone seen the new Dune movie? Thoughts?,Safe
Need a photographer? Packages start at $200.,Selling
"Freelance writing gigs! $25/article, fast turnaround.",Selling
Looking for edibles in LA. DM me.,Drugs
Your bank requires verification. Enter your info here.,Scamming
"Selling top-shelf kush, discreet shipping.",Drugs
Join my WhatsApp group for exclusive cash flipping deals.,Scamming
DM me for tarot readings. $15 for 3-card spreads.,Selling
This weather has been amazing lately.,Safe
"New sneaker drops! Sizes 8–12, limited stock.",Selling
"Selling handmade candles. $10 each, ships anywhere.",Selling
Anyone seen the new Dune movie? Thoughts?,Safe
"Listening to old-school hip hop today, vibes unmatched.",Safe
"Got Molly and acid, hit me up.",Drugs
Anyone seen the new Dune movie? Thoughts?,Safe
Graphic design services available. Logos starting at $50.,Selling
"Got some clean coke, DM for info.",Drugs
Click this link to claim your reward: bit.ly/xyz,Scamming
Need a plug for bars and blues. Serious buyers only.,Drugs
